            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,
Personal Income in Australia Table 2g. Total Income Distribution (2017-18),,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) 16/12/2020,,,,,,,,,,,,,,,,,,
Table 2g.5,Total Income by Local Government Area (2017-18),,,,,,,,,,,,,,,,,
,,,,,,,Percentile ratos,,,,,Income share,,,,,,
,,Earners,Median age of earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
LGA,LGA NAME,(persons),years,$,$,$,ratio,ratio,ratio,ratio,coef.,%,%,%,%,%,%,%
48540,Whyalla,"9,981",44,"611,420,699","54,196","61,258",4.82,1.78,0.37,0.17,0.412,4.4,14.9,25.3,22.9,23.5,24.2,29.4
48640,Wudinna,724,45,"31,182,206","38,672","43,069",9.43,2.04,0.22,0.02,0.638,5.6,20.1,33.3,34.8,24.8,22.4,18
48750,Yankalilla,"2,707",53,"120,593,503","36,723","44,549",6.52,1.88,0.29,0.09,0.488,6.9,19.7,31.1,34.2,31.2,21.2,13.5
48830,Yorke Peninsula,"5,463",53,"274,460,847","38,900","50,240",6.57,2.02,0.31,0.08,0.515,7.2,21.5,33.4,33,27.6,21.5,17.9
Western Australia,,"1,500,199",42,"103,310,913,753","52,671","68,865",5.4,1.94,0.36,0.15,0.487,9.2,22.2,33.4,24.4,23.2,23.5,28.9
50080,Albany,"22,116",47,"1,197,964,456","44,489","54,167",5.31,1.9,0.36,0.14,0.463,6.6,19,30.1,28.1,27.2,24.2,20.4
50210,Armadale,"47,320",39,"2,891,615,345","53,059","61,108",4.55,1.75,0.39,0.17,0.422,5.3,16.7,27.5,22.6,24.2,27.8,25.5
50250,Ashburton,"3,413",39,"337,743,600","97,862","98,958",4.41,1.53,0.35,0.15,0.383,4.3,13.3,22.7,15.1,14.2,14.8,55.8
50280,Augusta-Margaret River,"9,955",44,"523,408,465","40,000","52,577",5.05,1.99,0.39,0.17,0.482,6.7,20.4,32.5,29.7,29.9,21.9,18.4
50350,Bassendean,"9,065",42,"596,929,135","55,928","65,850",4.82,1.77,0.37,0.16,0.439,6.6,18.4,29,22.6,22,26.2,29.2
50420,Bayswater,"41,255",40,"2,597,606,002","52,156","62,965",5.06,1.85,0.37,0.15,0.451,6.2,18.3,29.5,24.3,23.6,25,27.2
50490,Belmont,"24,231",37,"1,493,329,162","52,284","61,629",4.7,1.8,0.38,0.17,0.433,5.6,17.3,28.3,23.4,24.3,26.5,25.8
50560,Beverley,907,54,"61,895,573","47,565","68,242",6.88,2.1,0.31,0.11,0.552,14.4,28,39.3,28.7,23,22.8,25.6
50630,Boddington,"1,011",45,"75,670,340","67,025","74,847",6.14,1.79,0.29,0.1,0.452,4.6,15.8,26.9,22.9,19.1,18.1,39.9
